iter	Passed	Remaining
0	41	14633
1	79	13903
2	118	13654
3	159	13832
4	192	13306
5	214	12317
6	247	12111
7	273	11707
8	297	11270
9	321	10947
10	344	10618
11	372	10486
12	397	10297
13	420	10086
14	447	9995
15	477	9958
16	501	9819
17	532	9830
18	560	9770
19	587	9699
20	616	9655
21	650	9701
22	689	9809
23	725	9851
24	761	9902
25	800	9971
26	850	10177
27	901	10365
28	945	10470
29	996	10627
30	1055	10857
31	1110	11035
32	1142	10972
33	1172	10899
34	1201	10810
35	1234	10769
36	1260	10664
37	1284	10545
38	1305	10408
39	1334	10343
40	1362	10271
41	1400	10268
42	1433	10237
43	1477	10275
44	1531	10378
45	1580	10447
46	1616	10418
47	1644	10348
48	1677	10306
49	1725	10352
50	1749	10258
51	1775	10175
52	1802	10102
53	1833	10047
54	1873	10047
55	1903	9991
56	1932	9932
57	1960	9871
58	1991	9820
59	2043	9875
60	2087	9888
61	2118	9841
62	2153	9808
63	2183	9758
64	2221	9738
65	2267	9756
66	2302	9723
67	2347	9737
68	2398	9769
69	2421	9685
70	2441	9594
71	2463	9511
72	2494	9465
73	2520	9400
74	2546	9338
75	2568	9259
76	2593	9194
77	2619	9134
78	2653	9103
79	2681	9050
80	2706	8988
81	2738	8951
82	2767	8903
83	2797	8858
84	2826	8811
85	2866	8798
86	2894	8750
87	2924	8706
88	2953	8661
89	2987	8631
90	3017	8587
91	3057	8574
92	3085	8526
93	3112	8476
94	3141	8433
95	3165	8374
96	3191	8325
97	3236	8322
98	3276	8308
99	3309	8273
100	3344	8245
101	3387	8236
102	3427	8220
103	3462	8189
104	3489	8141
105	3517	8096
106	3544	8050
107	3573	8008
108	3602	7965
109	3629	7917
110	3658	7877
111	3689	7840
112	3720	7803
113	3757	7778
114	3791	7748
115	3819	7704
116	3847	7662
117	3876	7621
118	3920	7609
119	3961	7592
120	3996	7563
121	4032	7536
122	4084	7537
123	4118	7505
124	4153	7476
125	4192	7453
126	4227	7422
127	4260	7390
128	4312	7387
129	4358	7375
130	4390	7339
131	4423	7305
132	4474	7299
133	4515	7278
134	4548	7244
135	4578	7204
136	4621	7185
137	4665	7167
138	4711	7152
139	4745	7118
140	4776	7080
141	4803	7035
142	4829	6990
143	4869	6966
144	4907	6938
145	4938	6900
146	4969	6862
147	4999	6823
148	5038	6796
149	5065	6754
150	5088	6705
151	5116	6664
152	5146	6626
153	5172	6583
154	5205	6549
155	5242	6520
156	5277	6487
157	5303	6445
158	5338	6412
159	5369	6376
160	5416	6358
161	5463	6340
162	5491	6299
163	5531	6273
164	5567	6241
165	5597	6204
166	5630	6170
167	5662	6133
168	5692	6097
169	5724	6060
170	5763	6033
171	5793	5996
172	5819	5954
173	5860	5927
174	5898	5898
175	5919	5851
176	5943	5808
177	5970	5769
178	5996	5728
179	6032	5697
180	6065	5663
181	6097	5628
182	6136	5599
183	6174	5570
184	6216	5544
185	6262	5522
186	6297	5489
187	6330	5454
188	6381	5436
189	6419	5405
190	6462	5379
191	6526	5371
192	6561	5337
193	6595	5303
194	6636	5275
195	6671	5241
196	6703	5206
197	6735	5170
198	6764	5133
199	6798	5098
200	6835	5067
201	6876	5037
202	6922	5013
203	6953	4976
204	6983	4939
205	7014	4903
206	7045	4867
207	7069	4826
208	7093	4785
209	7117	4744
210	7141	4704
211	7166	4665
212	7194	4627
213	7226	4592
214	7254	4555
215	7287	4520
216	7316	4484
217	7346	4448
218	7398	4425
219	7441	4397
220	7478	4365
221	7513	4332
222	7563	4307
223	7596	4272
224	7630	4239
225	7659	4202
226	7702	4173
227	7735	4139
228	7789	4115
229	7843	4092
230	7874	4056
231	7912	4024
232	7946	3990
233	7979	3955
234	8014	3921
235	8057	3892
236	8109	3866
237	8149	3835
238	8185	3801
239	8237	3775
240	8268	3739
241	8298	3703
242	8329	3667
243	8372	3637
244	8408	3603
245	8437	3567
246	8468	3531
247	8509	3499
248	8548	3467
249	8582	3432
250	8623	3401
251	8660	3367
252	8691	3332
253	8722	3296
254	8757	3262
255	8787	3226
256	8825	3193
257	8877	3165
258	8917	3133
259	8962	3102
260	9019	3075
261	9049	3039
262	9081	3004
263	9124	2972
264	9159	2937
265	9189	2902
266	9227	2868
267	9261	2833
268	9303	2801
269	9342	2768
270	9379	2734
271	9412	2699
272	9452	2666
273	9496	2633
274	9531	2599
275	9566	2564
276	9599	2529
277	9643	2497
278	9691	2466
279	9722	2430
280	9760	2396
281	9807	2364
282	9845	2330
283	9878	2295
284	9913	2261
285	9951	2226
286	9992	2193
287	10024	2157
288	10055	2122
289	10088	2087
290	10121	2052
291	10151	2016
292	10179	1980
293	10210	1944
294	10247	1910
295	10284	1876
296	10319	1841
297	10362	1808
298	10397	1773
299	10433	1738
300	10463	1703
301	10492	1667
302	10521	1632
303	10549	1596
304	10582	1561
305	10611	1525
306	10640	1490
307	10666	1454
308	10689	1418
309	10724	1383
310	10768	1350
311	10806	1316
312	10835	1280
313	10865	1245
314	10900	1211
315	10932	1176
316	10968	1141
317	11002	1107
318	11075	1076
319	11111	1041
320	11135	1006
321	11159	970
322	11186	935
323	11214	899
324	11239	864
325	11275	830
326	11307	795
327	11337	760
328	11372	725
329	11404	691
330	11436	656
331	11464	621
332	11498	587
333	11531	552
334	11558	517
335	11592	483
336	11633	448
337	11669	414
338	11706	379
339	11740	345
340	11775	310
341	11817	276
342	11849	241
343	11892	207
344	11937	173
345	11978	138
346	12010	103
347	12045	69
348	12076	34
349	12107	0
